Name,MedNet Code,Address,City,Web Site,Phone,Insurance Plan,Hcfa Type,Edi Service
ACCESS TO CARE,2225,2225 ENTERPRISE DR STE 2507,"60154 WESTCHESTER, IL",,,N/A,HCFA1500 12-02,
ACCIDENT FUND,W2008,200 N GRAND AVE,"48933 LANSING, MI",,(866) 206-5851,WORKERS COMPENSATION,HCFA1500 12-02,
ACCIDENT FUND,40790,PO BOX 40790,"48901 LANSING, MI",,(866) 206-5851,WORKERS COMPENSATION,HCFA1500 12-02,
ACCIDENT FUND INS COMPANY,WC4079,PO BOX 40790,"48901 LANSING, MI",,(866) 206-5851,WORKERS COMPENSATION,HCFA1500 12-02,
ACCIDENT FUND OF AMERICA,W232,232 S CAPITOL AVE,"48933 LANSING, MI",,(517) 342-4200,WORKERS COMPENSATION,HCFA1500 12-02,
ACCIDENT INSURANCE COMPANY,W29212,1 HARBISON WAY,"29212 COLUMBIA, SC",,(865) 425-7446,WORKERS COMPENSATION,HCFA1500 12-02,
ACCLAIM RISK MANAGEMENT,60187,330 S. NAPERVILLE ROAD STE206,"60187 WHEATON, IL",,(630) 871-1201,WORKERS COMPENSATION,HCFA1500 12-02,
ACCLARIS REIMBURSEMENT CENTER,18002,PO BOX 25171,"18002 LEHIGH VALLEY, PA",,,N/A,HCFA1500 12-02,
ACCORDIA NATIONAL,2621,PO BOX 2621,"25329 CHARLESTON, WV",,(866) 281-5751,N/A,HCFA1500 12-02,
ACCORDIA NATIONAL TPA,4172,PO BOX 280,"25330 CHARLESTON, WV",,(800) 788-1749,N/A,HCFA1500 12-02,
ACCOUNTABLE HC IPA,91754,1600 CORPORATE CENTER DRIVE STE 105,"91754 MONTEREY PARK, CA",,(562) 435-3333,BC/BS HMO,HCFA1500 12-02,CLAIM-MD
ACCOUNTABLE HEALTH,0810,PO BOX 810,"53072 PEWAUKEE, WI",,,N/A,HCFA1500 12-02,
ACCU- FAB INCORPORATED,W0185,1550 ABBOTT DR,"60090 WHEELING, IL",,(847) 541-4230,WORKERS COMPENSATION,HCFA1500 12-02,
ACCUITY INS,W582,PO BOX 58,"53081 SHEBOYGAN, WI",,(920) 458-9131,WORKERS COMPENSATION,HCFA1500 12-02,
ACCURATE PERSONNEL,4018,3472 W. VERDONE,"34953 PORT ST LUCIE, FL",,(772) 344-2402,N/A,HCFA1500 12-02,
ACCURATE PERSONNNEL SERVICES ATTN: JANETTE MUNOZ,W4333,33 S ROSELLE RD,"60193 SCHAUMBURG, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACCURATE THREADED FASTERNE,W60712,3550 W PRATT AVE,"60712 LINCOLNWOOD, IL",,(847) 677-1300,WORKERS COMPENSATION,HCFA1500 12-02,
ACCURO SOLUTIONS,W15232,1735 E CARSON ST,"15232 PITTSBURGH, PA",,(877) 222-8616,WORKERS COMPENSATION,HCFA1500 12-02,
ACCUSTAFF,W2201,2201 5TH AVE,"61244 EAST MOLINE, IL",,(309) 797-1108,WORKERS COMPENSATION,HCFA1500 12-02,
ACCUTEMP,W1077,PO BOX 1077,"68776 SOUTH SIOUX CITY, NE",,(402) 494-5532,WORKERS COMPENSATION,HCFA1500 12-02,
ACE AMERICA INS CO,983,PO BOX 983,"77001 HOUSTON, TX",,,N/A,HCFA1500 12-02,
ACE AMERICAN INSURANCE CO,W19105,PO BOX 1010,"19105 PHILADELPHIA, PA",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACE COFFEE BAR,W3800,3800 W 127TH ST,"60803 ALSIP, IL",,(708) 489-2300,WORKERS COMPENSATION,HCFA1500 12-02,
ACE CONSTRUCTION INC,W5095,5095 NW 114TH,"50111 GRIMES, IA",,(515) 986-4479,WORKERS COMPENSATION,HCFA1500 12-02,
ACE HARDWARE,WC2123,2123  N EUVLID AVAE,"61356 PRINCETON, IL",,(815) 872-3000,WORKERS COMPENSATION,HCFA1500 12-02,
ACE INTERNATIONAL CLAIM CENTER,15417,PO BOX 15417,"19850 WILMINGTON, DE",,(800) 262-8028,N/A,HCFA1500 12-02,
ACE MEDICARE SUPPLEMENT,10859,PO BOX 10859,"33757 CLEARWATER, FL",,(800) 601-3372,N/A,HCFA1500 12-02,
ACE USA,436,436 WALNUT STREET ROUTING WA,"19106 PHILADELPHIA, PA",,(800) 336-0627,N/A,HCFA1500 12-02,
ACE USA,W46,PO BOX 4602,"60680 CHICAGO, IL",,(800) 462-6349,WORKERS COMPENSATION,HCFA1500 12-02,
ACE-ESIS,W3127,PO BOX 31119,"33631 TAMPA, FL",,(877) 512-3768,WORKERS COMPENSATION,HCFA1500 12-02,
ACEC,44109,PO BOX 44109,"89116 LAS VEGAS, NV",,(800) 944-6574,TRUSTMARK,HCFA1500 12-02,
ACEO,W111,111 E BROADWAY ST,"65203 COLUMBIA, MO",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACEVES AND PEREZ P.C.,A330,1931 N MILWAUKEE AVE,"60647 CHICAGO, IL",,(312) 372-0011,LITIGATION,HCFA1500 12-02,
ACI,O994,994 OLD EAGLE SCHOOL RD ,"19087 WAYNE, PA",,(610) 293-9229,N/A,HCFA1500 12-02,
ACI MEMBER RESOURCES,40044,ACI P.O. Box 4000,"19426 COLLEGEVILLE, PA",,(610) 293-9229,COMMERCIAL ,HCFA1500 12-02,
"ACKMANM, MAREK, MEYER AND BOYD, LTD",A901,1 DEARBORN SQUARE  STE 400,"60901 KANKAKEE, IL",,,LITIGATION,HCFA1500 12-02,
ACM CLAIMS,WC85251,PO BOX 85251,"92186 SAN DIEGO, CA",,(800) 453-8610,WORKERS COMPENSATION,HCFA1500 12-02,
ACME FINISHING COMPANY INC W/C,W1595,1595 OAKTON ST,"60007 ELK GROVE VILLAGE, IL",,(847) 640-7890,WORKERS COMPENSATION,HCFA1500 12-02,
ACME IND/EMPLOYERS,W71099,PO BOX 71099,"28272 CHARLOTTE, NC",,(888) 682-6671,WORKERS COMPENSATION,HCFA1500 12-02,
ACO 234 BSTB,W727,2615 N BRADY ST ATTN: SGT MCDAVIT,"52806 DAVENPORT, IA",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACORDIA NATIONAL,11522,PO BOX 11522,"25339 CHARLESTON, WV",,(800) 321-1855,N/A,HCFA1500 12-02,
ACORDIAN COLLEGIATE,125100,125 AIRPORT PKWY STE 100,"46143 GREENWD, IN",,,N/A,HCFA1500 12-02,
ACOSTA,W33089,33089 GROESBECK ROAD,"48026 FRASER, MI",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACOSTA SKAWSKI PC ,A400S,400 S COUNTY FARM RD,"60187 WHEATON, IL",,(630) 871-6161,LITIGATION,HCFA1500 12-02,
ACS,31055,PO BOX 7000,"31055 MC RAE, GA",,(800) 766-4456,MEDICAID OTHER,HCFA1500 12-02,
ACS,2432,2432 FORTUNE DR,"40509 LEXINGTON, KY",,(866) 495-7844,N/A,HCFA1500 12-02,
ACS BENEFIT SERVICES,5370,PO BOX 2000,"27102 WINSTON-SALEM, NC",,(800) 849-5370,N/A,HCFA1500 12-02,
ACS COMP IQ,W1851,1851 E 1ST ST  STE 200,"92705 SANTA ANA, CA",,(877) 384-1071,WORKERS COMPENSATION,HCFA1500 12-02,
ACS HEALTH NET,512,PO BOX 14700,"40512 LEXINGTON, KY",,(800) 438-7886,N/A,HCFA1500 12-02,
ACS INC,5000,PO BOX 5000,"31055 MC RAE, GA",,(866) 211-0951,N/A,HCFA1500 12-02,
ACT BENEFIT HEALTH CARE,382048,PO BOX 382048,"35238 BIRMINGHAM, AL",,(800) 722-8477,N/A,HCFA1500 12-02,
ACTION AUTO REPAIR,W418,418 8TH STREET,"51103 SIOUX CITY, IA",,(712) 252-1667,WORKERS COMPENSATION,HCFA1500 12-02,
ACTION BUILDING CONTRACTOR,W393,393 VIRGINIA PLACE,"60090 WHEELING, IL",,(847) 875-1743,WORKERS COMPENSATION,HCFA1500 12-02,
ACTION ROOFING,W347,503 S MCCLUN,"61701 BLOOMINGTON, IL",,,WORKERS COMPENSATION,HCFA1500 12-02,
ACTION TURB,W1520,1520 S LAWNDALE,"60501 SUMMIT, IL",,(630) 201-4295,WORKERS COMPENSATION,HCFA1500 12-02,
ACTIVE CARE MANAGEMENT ,482261,535 GRISWOLD ST SUITE 111-614,"48226 DETROIT, MI",,,N/A,HCFA1500 12-02,
ACTUARIAL MANAGEMENT RESOURCES,30377,4964 UNIVERSITY PARKWAY,"27106 WINSTON SALEM, NC",,,N/A,HCFA1500 12-02,
ACUITY GROUP,22151,PO BOX 21515,"55121 EAGAN, MN",,(855) 563-9396,COMMERCIAL ,HCFA1500 12-02,
ACUITY INSURANCE,58,PO BOX 58,"53082 SHEBOYGAN, WI",,(800) 242-7666,WORKERS COMPENSATION,HCFA1500 12-02,
ACUITY INSURANCE/WC,W2800,2800 S. TAYLOR DRIVE ,"53061 SHEBOYGAN, WI",,(800) 242-7666,WORKERS COMPENSATION,HCFA1500 12-02,
ACUITY WC,530721,PO BOX 815,"53072 PEWAUKEE, WI",,(800) 242-7666,WORKERS COMPENSATION,HCFA1500 12-02,
ACVANCED PHYSICIAN ASSOCIATIONS,2315,2315 E 93RD ST STE 440,"60617 CHICAGO, IL",,(773) 374-4079,N/A,HCFA1500 12-02,
ADAM INGBER LAW OFFICES,A3588,"150 N MICHIGAN AVE,STE 2800","60601 CHICAGO, IL",,(312) 853-3588,LITIGATION,HCFA1500 12-02,
ADAMS COLLISION CENTER,W8559,8559 PYOTT RD,"60156 LAKE IN THE HILLS, IL",,(815) 356-0192,WORKERS COMPENSATION,HCFA1500 12-02,
ADC #1 WELFARE FUND,6606,660 NORTH INDURSTRIAL DR ,"60126 ELMHURST, IL",,(630) 279-3366,N/A,HCFA1500 12-02,
ADC NO 1 WELFARE FUND,3366,660 NORTH INDUSTRIAL DR,"60126 ELMHURST, IL",,(630) 279-3366,N/A,HCFA1500 12-02,
ADC No. 1 WELFARE FUND,601262,660 N INDUSTRIAL DR  STE 100,"60126 ELMHURST, IL",,(630) 617-8666,N/A,HCFA1500 12-02,
ADDISON MANUFACTURING CO,60106,101 WILSON COURT,"60106 BENSENVILLE, IL",,(630) 616-1066,WORKERS COMPENSATION,HCFA1500 12-02,
