MedNet Code,Medicare Modifiers,Bill Medical Direction
37110,YES,YES
12070,YES,YES
1207,YES,YES
1208,YES,YES
496,YES,YES
0031,YES,YES
230545,YES,YES
39225,YES,YES
3633,YES,YES
1684,YES,YES
14077,YES,YES
3355,YES,YES
37705,YES,YES
4445,YES,YES
105557,YES,YES
1007,YES,YES
10070,YES,YES
1087,YES,YES
402F,YES,YES
402,YES,YES
K7L3A8,YES,YES
13047,YES,YES
33932,YES,YES
910590,YES,YES
91059,YES,YES
21709,YES,YES
52890R,YES,YES
52890,YES,YES
1101113,YES,YES
1101112,YES,YES
6729,YES,YES
UIC6015,NO,YES
003C,NO,YES
17012,NO,YES
4861,NO,YES
6711,NO,YES
91250,NO,NO
2550,NO,NO
6392,NO,NO
2792,NO,NO
1140,NO,NO
9291,NO,NO
66012,NO,NO
4880,NO,NO
805108,NO,NO
60014,NO,NO
8738,YES,YES
8730,YES,YES
31274,YES,YES
7046,YES,YES
70466,YES,YES
100,NO,NO
03,NO,NO
300005,NO,NO
0051,NO,NO
605591,NO,NO
92921,NO,NO
60559,NO,NO
4205,YES,YES
159,YES,YES
18803,YES,YES
188032,YES,YES
2100,YES,YES
15050,YES,YES
15111,YES,YES
6471,YES,YES
2217,YES,YES
7875,YES,YES
9317,YES,YES
1822,YES,YES
18800,YES,YES
188007,YES,YES
3952,YES,YES
5710,YES,YES
55270,YES,YES
5016,YES,YES
10416,YES,YES
1880,YES,YES
852,YES,YES
7100,YES,YES
1000,YES,YES
55900,YES,YES
625,YES,YES
5252,YES,YES
315,YES,YES
18233,YES,YES
40070,YES,YES
0987,YES,YES
188030,YES,YES
8915,YES,YES
18,YES,YES
12047,YES,YES
3021,YES,YES
211651,YES,YES
1358,YES,YES
75068,YES,YES
3750,YES,YES
9304,YES,YES
5415,YES,YES
3099,YES,YES
5909,YES,YES
6534,YES,YES
2005,YES,YES
588,YES,YES
571012,YES,YES
29600,YES,YES
182654,YES,YES
188061,YES,YES
5188,YES,YES
58100,YES,YES
188050,YES,YES
37422,YES,YES
18801,YES,YES
88023,YES,YES
8002,YES,YES
8038,YES,YES
188008,YES,YES
1039,YES,YES
10365,YES,YES
33668,YES,YES
8029,YES,YES
1822S,YES,YES
80612,NO,NO
85038,NO,NO
704,NO,NO
271,NO,NO
3439,NO,NO
1278,NO,NO
40044,NO,NO
22151,NO,NO
619031,NO,NO
14081,NO,NO
4145,NO,NO
3893,NO,NO
6806C,NO,NO
1182,NO,NO
68069C,NO,NO
0222,NO,NO
84021,NO,NO
2510,NO,NO
26601,NO,NO
6772,NO,NO
3628,NO,NO
01227,NO,NO
210546,NO,NO
532011,NO,NO
98044,NO,NO
9526,NO,NO
11746,NO,NO
26959,NO,NO
16275,NO,NO
17901,NO,NO
707,NO,NO
0346,NO,NO
9446,NO,NO
0250,NO,NO
22010,NO,NO
21943,NO,NO
663,NO,NO
362,NO,NO
0706,NO,NO
9438,NO,NO
30142MP,NO,NO
1033,NO,NO
25821,NO,NO
12002,NO,NO
1157,NO,NO
9085,NO,NO
21050,NO,NO
77590,NO,NO
12915,NO,NO
2024D,NO,NO
3668,NO,NO
50435,NO,NO
66001,NO,NO
21005,NO,NO
211422,NO,NO
44128,NO,NO
2546,NO,NO
386025,NO,NO
0370,NO,NO
77000,NO,NO
75151,NO,NO
21154,NO,NO
5577,NO,NO
217178,NO,NO
803698,NO,NO
830698,NO,NO
99006,NO,NO
91801,NO,NO
660091,NO,NO
66044,NO,NO
55100,NO,NO
25507,NO,NO
7488,NO,NO
80322,NO,NO
111890,NO,NO
4225,NO,NO
10441,NO,NO
660346,NO,NO
40110,NO,NO
33000,NO,NO
256,NO,NO
22550,NO,NO
22116,NO,NO
211123,NO,NO
5548,NO,NO
458022,NO,NO
3495,NO,NO
19084,NO,NO
5429,NO,NO
33757,NO,NO
10867,NO,NO
21823,NO,NO
15404,NO,NO
151511,NO,NO
14707,NO,NO
36908,NO,NO
35691,NO,NO
6564,NO,NO
2161,NO,NO
2278,NO,NO
5530,NO,NO
9081,NO,NO
9003,NO,NO
10685,NO,NO
14103,NO,NO
45044,NO,NO
87300,NO,NO
22811,NO,NO
0549,NO,NO
41750,NO,NO
3488,NO,NO
7937,NO,NO
20211,NO,NO
300921,NO,NO
32809,NO,NO
5045,NO,NO
6107,NO,NO
99007,NO,NO
77789,NO,NO
26117,NO,NO
11924,NO,NO
331,NO,NO
21747,NO,NO
53089,NO,NO
7020,NO,NO
45650,NO,NO
9339,NO,NO
14226,NO,NO
145,NO,NO
51301,NO,NO
21001,NO,NO
1202,NO,NO
321125,NO,NO
2270,NO,NO
503327,NO,NO
1227,NO,NO
722,NO,NO
211282,NO,NO
3005,NO,NO
31008,NO,NO
2509,NO,NO
015,NO,NO
11547,NO,NO
552145,NO,NO
23700,NO,NO
65800,NO,NO
7399,NO,NO
33766,NO,NO
91200,NO,NO
3350,NO,NO
65887,NO,NO
551215,NO,NO
4219,NO,NO
4362,NO,NO
108201,NO,NO
981845,NO,NO
16182,NO,NO
2297,NO,NO
30341,NO,NO
5210,NO,NO
66000,NO,NO
48331,NO,NO
37402,NO,NO
14552,NO,NO
621676,NO,NO
2116812,NO,NO
2299,NO,NO
2023,NO,NO
8938,NO,NO
219042,NO,NO
169,NO,NO
185,NO,NO
1760,NO,NO
13111,NO,NO
500509,NO,NO
10001,NO,NO
81529,NO,NO
5509,NO,NO
80001,NO,NO
260130,NO,NO
15025,NO,NO
450978,NO,NO
55151C,NO,NO
4809,NO,NO
2388,NO,NO
22601,NO,NO
3417,NO,NO
33139,NO,NO
1537,NO,NO
73001,NO,NO
77001,NO,NO
3727,NO,NO
2817,NO,NO
1204S,YES,YES
407421,YES,YES
7153,YES,YES
9570,YES,YES
7713,YES,YES
951926,YES,YES
5032,YES,YES
7807,YES,YES
7109,YES,YES
8400,YES,YES
7808,YES,YES
4329,YES,YES
7709,YES,YES
334312,YES,YES
77111,YES,YES
25133,YES,YES
2416,YES,YES
6985,YES,YES
92110,YES,YES
2662,YES,YES
817159,YES,YES
7812,YES,YES
6950,YES,YES
6705,YES,YES
7108,YES,YES
7796,YES,YES
2340,YES,YES
1745,YES,YES
9252,YES,YES
5130,YES,YES
7705,YES,YES
1204,YES,YES
72701,NO,NO
1506,NO,NO
321,NO,NO
12198,NO,NO
CVC,NO,NO
74100,NO,NO
19603,NO,NO
66011,NO,NO
DOC29501,NO,NO
73547,NO,NO
DOC211,NO,NO
74829,NO,NO
30522,NO,NO
DOC1856,NO,NO
74035,NO,NO
D30522,NO,NO
20010,NO,NO
D02,NO,NO
D001,NO,NO
D01,NO,NO
1877,NO,NO
1285D,NO,NO
40522,NO,NO
60621,NO,NO
1225,NO,NO
6691,NO,NO
451,NO,NO
1727,NO,NO
326,NO,NO
F1029,NO,NO
3650,NO,NO
6240,NO,NO
3700,NO,NO
3630,NO,NO
4161,NO,NO
13000,NO,NO
9900,NO,NO
3200,YES,YES
22009,YES,YES
4041,YES,YES
23820,YES,YES
2320,YES,YES
4502,YES,YES
9162,YES,YES
0247,YES,YES
7068,YES,YES
98160,YES,YES
15101,YES,YES
1098,YES,YES
22823,YES,YES
16188,YES,YES
23048,YES,YES
6880,YES,YES
0320,YES,YES
12014,YES,YES
00110,YES,YES
15319,YES,YES
2081,YES,YES
5359,YES,YES
78211,YES,YES
3362,YES,YES
400001,YES,YES
4528,YES,YES
4615,YES,YES
441588,YES,YES
245,YES,YES
30101,YES,YES
22410,YES,YES
179,YES,YES
3611,YES,YES
8092,YES,YES
7818,YES,YES
194823,YES,YES
7866,YES,YES
2109,YES,YES
3353,YES,YES
23715,YES,YES
1868,YES,YES
30,YES,YES
200303,YES,YES
0230,YES,YES
1251,YES,YES
95800,YES,YES
95600,YES,YES
1322,YES,YES
4509,YES,YES
5806,NO,NO
8024,NO,NO
26105,NO,NO
33134,NO,NO
7905,NO,NO
22738,NO,NO
252527,,
1986,NO,NO
02399,YES,YES
3001A,YES,YES
3001,YES,YES
2850H,YES,YES
49516,YES,YES
2921,YES,YES
0245,YES,YES
1212,YES,YES
30511,YES,YES
3872,YES,YES
4104,YES,YES
6527,YES,YES
5003,YES,YES
3047,NO,NO
1289,YES,YES
21024,YES,YES
13090,YES,YES
0475,NO,NO
80,NO,NO
731161,YES,YES
52000,YES,YES
44039,YES,YES
419104,YES,YES
2229,YES,YES
1440,NO,NO
1884,NO,NO
8530,NO,NO
6910,NO,NO
6090,NO,NO
1232,NO,NO
8624,NO,NO
3067,NO,NO
3428,NO,NO
1364,NO,NO
9723,NO,NO
1083,NO,NO
8401,NO,NO
019,NO,NO
4415,YES,YES
601557,NO,NO
3003,NO,NO
83701,NO,NO
600772,NO,NO
501083,NO,NO
50111,NO,NO
0720,NO,NO
4140,NO,NO
790,NO,NO
3520,NO,NO
4167,NO,NO
3109,NO,NO
60103,NO,NO
60009,NO,NO
60137,NO,NO
4144,NO,NO
4198,NO,NO
601261,NO,NO
1603,NO,NO
18201,NO,NO
675,NO,NO
4134,NO,NO
95762,NO,NO
605155,NO,NO
30138N,NO,NO
30138,NO,NO
728,NO,NO
300368,NO,NO
2160,NO,NO
601544,NO,NO
9180,NO,NO
4000,NO,NO
4106,NO,NO
506015,NO,NO
7819,NO,NO
60423,NO,NO
95019,NO,NO
70511,NO,NO
2380,NO,NO
4116,NO,NO
8203,NO,NO
611000,NO,NO
11737,NO,NO
1372,NO,NO
74281,NO,NO
1431,NO,NO
160,NO,NO
605631,NO,NO
9140,NO,NO
7434,NO,NO
135,NO,NO
333,NO,NO
50110,NO,NO
44156,NO,NO
606478,NO,NO
3029,NO,NO
1178,NO,NO
0722,NO,NO
0467,NO,NO
1786,NO,NO
29429,NO,NO
413,NO,NO
115,NO,NO
0253,NO,NO
072,NO,NO
1540,NO,NO
3111,NO,NO
341,NO,NO
12401,NO,NO
1461,YES,YES
601201,YES,YES
0010,YES,YES
284,YES,YES
45401,YES,YES
92059,YES,YES
14603,YES,YES
29,YES,YES
1463,YES,YES
543,YES,YES
7400,YES,YES
22000,YES,YES
90815,YES,YES
14602,YES,YES
14601,YES,YES
7352,NO,NO
3296,NO,NO
3294,NO,NO
71120,NO,NO
11220,NO,NO
20155,NO,NO
6615,NO,NO
74447,NO,NO
650267,NO,NO
13509,NO,NO
73131,NO,NO
73507,NO,NO
IHS1212,NO,NO
10321,NO,NO
10327,NO,NO
74801,NO,NO
74571,NO,NO
18802,NO,NO
1921,NO,NO
19600,NO,NO
33110,NO,NO
22025,NO,NO
7790,NO,NO
11196,YES,YES
541,YES,YES
A371860,YES,YES
97212,YES,YES
3288,YES,YES
9679,YES,YES
12923,YES,YES
10350,YES,YES
21700,YES,YES
98101,YES,YES
91051,YES,YES
30547,YES,YES
2611,YES,YES
7004,YES,YES
370050,YES,YES
6233,YES,YES
261130,YES,YES
372970,YES,YES
3731,YES,YES
30766,YES,YES
4747,YES,YES
7201,YES,YES
8405,NO,NO
766960154,NO,NO
2615,NO,NO
630,NO,NO
618357,NO,NO
A1515,NO,NO
A10202,NO,NO
A6847,NO,NO
1901,NO,NO
A100405,NO,NO
A1807,NO,NO
A5845,NO,NO
W5601,NO,NO
A614,NO,NO
A27,NO,NO
A645,NO,NO
A706,NO,NO
A85,NO,NO
A7105,NO,NO
A6001,NO,NO
A167,NO,NO
A3012,NO,NO
A400,NO,NO
A6525,NO,NO
A10,NO,NO
A954,NO,NO
A3535,NO,NO
A33602,NO,NO
A419,NO,NO
A4156,NO,NO
A2610,NO,NO
A28000,NO,NO
A641W,NO,NO
A6416,NO,NO
A187,NO,NO
A4453,NO,NO
A1803,NO,NO
A9100,NO,NO
A106,NO,NO
A127,NO,NO
A0019,NO,NO
A105,NO,NO
A7667,NO,NO
A11015,NO,NO
A74,NO,NO
A806,NO,NO
A920,NO,NO
A2589,NO,NO
A42712,NO,NO
A735,NO,NO
A319,NO,NO
A320,NO,NO
A1642,NO,NO
A5505,NO,NO
AT350,NO,NO
A1948,NO,NO
A8250,NO,NO
A11665,NO,NO
A0220,NO,NO
A6177,NO,NO
A530,NO,NO
A85420,NO,NO
A3011,NO,NO
A0624,NO,NO
A60096,NO,NO
A670,NO,NO
A1137,NO,NO
A7601,NO,NO
A1403,NO,NO
A102,NO,NO
AT215,NO,NO
A1411,NO,NO
A10S,NO,NO
A903,NO,NO
A12129,NO,NO
A1999,NO,NO
A7770,NO,NO
A7482,NO,NO
A47320,NO,NO
A0444,NO,NO
AT3350,NO,NO
A4801,NO,NO
A701,NO,NO
A3425,NO,NO
A9003,NO,NO
A940,NO,NO
8711,NO,NO
A12824,NO,NO
A213,NO,NO
A7001,NO,NO
A2656,NO,NO
WC5565,NO,NO
A2501,NO,NO
A0103,NO,NO
A4111,NO,NO
E9020,NO,NO
A11065,NO,NO
A58,NO,NO
A2535-206,NO,NO
A3432,NO,NO
A30E,NO,NO
A1019,NO,NO
A234,NO,NO
AT1401,NO,NO
A110,NO,NO
72500,NO,NO
A103,NO,NO
A301,NO,NO
A19390,NO,NO
A3421,NO,NO
A6715,NO,NO
A5021,NO,NO
A516,NO,NO
A5338,NO,NO
A8151,NO,NO
A60654,NO,NO
A7450,NO,NO
A15030,NO,NO
A0801,NO,NO
A2288,NO,NO
A0236,NO,NO
A160W,NO,NO
A1301,NO,NO
A50011,NO,NO
A367,NO,NO
A6304,NO,NO
A298,NO,NO
A010,NO,NO
A21970,NO,NO
A724,NO,NO
AT1301,NO,NO
A1007,NO,NO
A1215,NO,NO
PI13801,NO,NO
A90,NO,NO
A0440,NO,NO
A340,NO,NO
A15011,NO,NO
A951,NO,NO
A10335,NO,NO
A3121,NO,NO
A7959,NO,NO
A1401,NO,NO
A2115,NO,NO
A526,NO,NO
A616,NO,NO
A456,NO,NO
A8841,NO,NO
AT415,NO,NO
1379,NO,NO
A7701,NO,NO
A8150,NO,NO
A7220,NO,NO
A28588,NO,NO
A6808,NO,NO
A5655,NO,NO
A220808,NO,NO
A18,NO,NO
1999,NO,NO
A12400,NO,NO
A28411,NO,NO
A5550,NO,NO
A3591,NO,NO
A112,NO,NO
A48075,NO,NO
A01501,NO,NO
150A,NO,NO
A440,NO,NO
A257,NO,NO
A1300,NO,NO
A4452,NO,NO
A6666,NO,NO
A4092,NO,NO
AT101,NO,NO
AT600,NO,NO
A113,NO,NO
A6854,NO,NO
A6905,NO,NO
27200,NO,NO
A12345,NO,NO
A2842,NO,NO
AT123,NO,NO
A0113,NO,NO
A11313,NO,NO
520A,NO,NO
A505,NO,NO
H711,NO,NO
A4140,NO,NO
A3603,NO,NO
A207,NO,NO
A101,NO,NO
A206,NO,NO
A4600,NO,NO
A0633,NO,NO
A1220,NO,NO
A0555,NO,NO
A4422,NO,NO
A1935,NO,NO
A408,NO,NO
A1128,NO,NO
A3086,NO,NO
A0109,NO,NO
A7620,NO,NO
A689,NO,NO
A1407,NO,NO
A3500,NO,NO
A721,NO,NO
A3006,NO,NO
A719,NO,NO
A53188,NO,NO
A490,NO,NO
A726,NO,NO
A3322,NO,NO
A820,NO,NO
A542,NO,NO
A10552,NO,NO
A2700,NO,NO
A4545,NO,NO
A2264,NO,NO
A300W,NO,NO
A5015,NO,NO
A3032,NO,NO
A850701,NO,NO
A725,NO,NO
A227,NO,NO
A4800,NO,NO
A4920,NO,NO
05010,NO,NO
A6475,NO,NO
A8769,NO,NO
A6600,NO,NO
AT4800,NO,NO
A5139,NO,NO
A5097,NO,NO
A7330A,NO,NO
A1305,NO,NO
A9219,NO,NO
A247,NO,NO
A6440,NO,NO
A20002,NO,NO
A5599,NO,NO
A17000,NO,NO
A2275,NO,NO
48638,NO,NO
A932,NO,NO
A0244,NO,NO
A4241,NO,NO
A3551,NO,NO
A528,NO,NO
A190,NO,NO
A0101,NO,NO
A1618,NO,NO
A22100,NO,NO
A3550,NO,NO
A1275,NO,NO
A1237,NO,NO
A170,NO,NO
A333,NO,NO
A60440,NO,NO
A9103,NO,NO
A157,NO,NO
A0806,NO,NO
A602,NO,NO
A9006,NO,NO
A120400,NO,NO
262A,NO,NO
A636,NO,NO
A2393,NO,NO
A4520,NO,NO
W1015,NO,NO
A9933,NO,NO
A0217,NO,NO
A1162,NO,NO
A40112,NO,NO
A41600,NO,NO
A2021,NO,NO
A8043,NO,NO
A6003,NO,NO
A1615,NO,NO
A2455,NO,NO
A305,NO,NO
A0684,NO,NO
A4160,NO,NO
A1625,NO,NO
A0132,NO,NO
A809,NO,NO
A535,NO,NO
A8091,NO,NO
A3303,NO,NO
A1277,NO,NO
A1718,NO,NO
A1702,NO,NO
A6914,NO,NO
A2246,NO,NO
A5520,NO,NO
A1312,NO,NO
A0131,NO,NO
A3411,NO,NO
A01035,NO,NO
A1035,NO,NO
A7101,NO,NO
A201200,NO,NO
A237,NO,NO
AT118,NO,NO
A7742,NO,NO
A34006,NO,NO
A420,NO,NO
A0401,NO,NO
A950,NO,NO
A94903,NO,NO
A1379,NO,NO
A6,NO,NO
A121,NO,NO
A5521,NO,NO
A143,NO,NO
A1109,NO,NO
A7560,NO,NO
A4227,NO,NO
A957,NO,NO
AT1800,NO,NO
A915,NO,NO
A2114,NO,NO
A3412,NO,NO
A44,NO,NO
A4280,NO,NO
A405,NO,NO
A2211,NO,NO
A6100,NO,NO
A196,NO,NO
A8720,NO,NO
A276,NO,NO
A4200,NO,NO
A2325,NO,NO
A19S,NO,NO
A3180,NO,NO
A5567,NO,NO
A1331,NO,NO
A5000,NO,NO
A270,NO,NO
A2646,NO,NO
A0335,NO,NO
A4190,NO,NO
A118,NO,NO
